licenceID,licenceNumber,licensee,channel,frequency,location,gridRefDefault,gridReference,licenceType,status,txrx,suppressed,path,createdAt
421895,NA,TWO DEGREES NETWORKS LIMITED,NA,798,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421895,NA,TWO DEGREES NETWORKS LIMITED,NA,798,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421894,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421894,NA,TWO DEGREES NETWORKS LIMITED,NA,1815,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421893,NA,TWO DEGREES NETWORKS LIMITED,NA,939.9,(CAN-059-026-A)[RVWD]_RAVENSWOOD PA,LAT_LONG_NZGD2000_D2000,-43.2184583 172.7897194,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421893,NA,TWO DEGREES NETWORKS LIMITED,NA,939.9,(CAN-059-026-A)[RVWD]_RAVENSWOOD,LAT_LONG_NZGD2000_D2000,-43.3081750 172.6661474,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421892,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2137.5,MT MARY P A,LAT_LONG_NZGD2000_D2000,-44.0462374 170.1568833,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421892,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2137.5,MT MARY,LAT_LONG_NZGD2000_D2000,-44.1383660 170.2777738,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421891,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2137.5,TE ANAU EXCHANGE P A,LAT_LONG_NZGD2000_D2000,-45.3200766 167.5968333,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421891,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2137.5,TE ANAU EXCHANGE,LAT_LONG_NZGD2000_D2000,-45.4157142 167.7164666,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421890,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2665,TE ANAU EXCHANGE P A,LAT_LONG_NZGD2000_D2000,-45.3200766 167.5968333,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421890,NA,SPARK NEW ZEALAND TRADING LIMITED,NA,2665,TE ANAU EXCHANGE,LAT_LONG_NZGD2000_D2000,-45.4157142 167.7164666,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421883,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Wheki Valley ONZ PA,LAT_LONG_NZGD2000_D2000,-35.5048477 173.8153613,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421883,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Wheki Valley ONZ N1WVY,LAT_LONG_NZGD2000_D2000,-35.7721540 174.1506020,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421882,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Taipa ONZ PA,LAT_LONG_NZGD2000_D2000,-34.7330284 173.1413270,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421882,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Taipa ONZ N1TIP,LAT_LONG_NZGD2000_D2000,-35.0022680 173.4712180,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421881,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Upper Khyber Pass ONZ PA,LAT_LONG_NZGD2000_D2000,-36.6001720 174.4245048,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421881,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Upper Khyber Pass ONZ A3UKP,LAT_LONG_NZGD2000_D2000,-36.8654620 174.7664840,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421880,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Milford Central ONZ PA,LAT_LONG_NZGD2000_D2000,-36.5082421 174.4248076,Other (Spectrum),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421880,NA,ONE NEW ZEALAND GROUP LIMITED,VF900,952,Milford Central ONZ A1MFC,LAT_LONG_NZGD2000_D2000,-36.7732390 174.7660260,Other (Spectrum),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421877,401878,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,13G2#,13059,CASS PEAK SSR,LAT_LONG_NZGD2000_D2000,-43.6360285 172.6239960,Fixed >=1 GHz (Bi-directional),Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421877,401878,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,13G2#,13059,"30 Sir William Pickering Drive, Christchurch",LAT_LONG_NZGD2000_D2000,-43.4969220 172.5577280,Fixed >=1 GHz (Bi-directional),Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421868,NA,TINLINE PROPERTIES (TAURANGA) LIMITED,DNX41,461.7312,TAURANGA DISTRICT TLA,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421868,NA,TINLINE PROPERTIES (TAURANGA) LIMITED,DNX41,461.7312,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421865,NA,INSPIRE NET LIMITED,11G1W,10755,BASTIA HILL,LAT_LONG_NZGD2000_D2000,-39.9270046 175.0685714,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421865,NA,INSPIRE NET LIMITED,11G1W,10755,"662A Rangitatau East Road, Kai Iwi, Whanganui (Inspire Bushy Park)",LAT_LONG_NZGD2000_D2000,-39.7940140 174.9524510,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421856,NA,TWO DEGREES NETWORKS LIMITED,11G4W,10995,(HKB-031-012-A)[TADS]_TARADALE SOUTH,LAT_LONG_NZGD2000_D2000,-39.5418438 176.8252554,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421856,NA,TWO DEGREES NETWORKS LIMITED,11G4W,10995,(HKB-030-026-A)[CLIV]_CLIVE,LAT_LONG_NZGD2000_D2000,-39.6006236 176.9127276,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421852,NA,TWO DEGREES NETWORKS LIMITED,11G3W,10915,(HKB-031-012-A)[TADS]_TARADALE SOUTH,LAT_LONG_NZGD2000_D2000,-39.5418438 176.8252554,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421852,NA,TWO DEGREES NETWORKS LIMITED,11G3W,10915,(HKB-030-026-A)[CLIV]_CLIVE,LAT_LONG_NZGD2000_D2000,-39.6006236 176.9127276,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX90,466.8813,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX90,466.8813,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX80,466.7063,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX80,466.7063,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX61,464.9812,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,DNX61,464.9812,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX73,150.9625,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX73,150.9625,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX25,150.3625,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX25,150.3625,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX6,150.125,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421843,402055,VORTEX VENTURES LIMITED,ENX6,150.125,ALL NORTH ISLAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421841,NA,VORTEX VENTURES LIMITED,EN116#,153.9688,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Mobile - Mobile Transmit,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421841,NA,VORTEX VENTURES LIMITED,EN116#,153.9688,277 Awapuni road Gisborne 4010,LAT_LONG_NZGD2000_D2000,-38.6691873 177.9988360,Land Mobile - Mobile Transmit,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421840,416336,VORTEX VENTURES LIMITED,EN116,152.1875,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Repeater,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421840,416336,VORTEX VENTURES LIMITED,EN116,152.1875,277 Awapuni road Gisborne 4010,LAT_LONG_NZGD2000_D2000,-38.6691873 177.9988360,Land Repeater,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421828,NA,TWO DEGREES NETWORKS LIMITED,80G1A,72250,(WLG-049-001-A)[CART]_CARTERTON,LAT_LONG_NZGD2000_D2000,-40.9735436 175.5065883,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421828,NA,TWO DEGREES NETWORKS LIMITED,80G1A,72250,(WLG-048-002-B)[MENS]_MASTERTON STRAIGHTS,LAT_LONG_NZGD2000_D2000,-40.9556686 175.6514517,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421826,NA,TWO DEGREES NETWORKS LIMITED,13G2W,12835,(WLG-049-001-A)[CART]_CARTERTON,LAT_LONG_NZGD2000_D2000,-40.9735436 175.5065883,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421826,NA,TWO DEGREES NETWORKS LIMITED,13G2W,12835,(WLG-048-002-B)[MENS]_MASTERTON STRAIGHTS,LAT_LONG_NZGD2000_D2000,-40.9556686 175.6514517,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421812,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,FENTON PARK (BOP-024-023-A),LAT_LONG_NZGD2000_D2000,-38.1498634 176.2573404,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421812,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,(BOP-024-026-A)[NGAP]_NGAPUNA COMMERCIAL,LAT_LONG_NZGD2000_D2000,-38.1438156 176.2821898,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421810,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,(OTG-071-023-A)[CSTP]_CORSTORPHINE,LAT_LONG_NZGD2000_D2000,-45.9082999 170.4697447,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421810,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,(OTG-071-021-C)[BKVL]_BROCKVILLE,LAT_LONG_NZGD2000_D2000,-45.8762581 170.4599073,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421806,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,(WLG-044-005-B)[JGFD]_JUDGEFORD,LAT_LONG_NZGD2000_D2000,-41.1238437 174.9569996,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421806,NA,TWO DEGREES NETWORKS LIMITED,80G11A,74750,(WLG-044-001-B)[CAMB]_CAMBORNE,LAT_LONG_NZGD2000_D2000,-41.0895633 174.8714952,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421801,NA,TWO DEGREES NETWORKS LIMITED,80G2A,72500,(WLG-045-006-A)[UPHT]_UPPER HUTT,LAT_LONG_NZGD2000_D2000,-41.1247613 175.0694128,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421801,NA,TWO DEGREES NETWORKS LIMITED,80G2A,72500,(WLG-045-004-D)[ELDN]_ELDERSLEA NORTH,LAT_LONG_NZGD2000_D2000,-41.1179116 175.0483793,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421800,NA,TWO DEGREES NETWORKS LIMITED,11G2W,10835,(WKT-021-013-A)[KLOH]_KINLOCH,LAT_LONG_NZGD2000_D2000,-38.6668686 175.9559998,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421800,NA,TWO DEGREES NETWORKS LIMITED,11G2W,10835,(WKT-021-003-C)[TAPE]_TAUPO EAST,LAT_LONG_NZGD2000_D2000,-38.6894909 176.1063558,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421798,NA,TWO DEGREES NETWORKS LIMITED,11G1W,10755,(WKT-021-013-A)[KLOH]_KINLOCH,LAT_LONG_NZGD2000_D2000,-38.6668686 175.9559998,Fixed >=1 GHz (Bi-directional),Planned,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421798,NA,TWO DEGREES NETWORKS LIMITED,11G1W,10755,(WKT-021-003-C)[TAPE]_TAUPO EAST,LAT_LONG_NZGD2000_D2000,-38.6894909 176.1063558,Fixed >=1 GHz (Bi-directional),Planned,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,DNX98,466.9812,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,DNX98,466.9812,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,DNX51,464.8562,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,DNX51,464.8562,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,CNX49,455.0063,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,CNX49,455.0063,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX291,172.85,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX291,172.85,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX114,170.6375,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX114,170.6375,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX21,165.9625,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421780,416335,Brendin Graham-Ireland,EEX21,165.9625,ALL NEW ZEALAND,LAT_LONG_NZGD2000_D2000,NA,Land Simplex,Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421769,NA,Next Generation Critical Communications,ESCN113#,495.4062,RNZ PORIRUA (VF W4PRU),LAT_LONG_NZGD2000_D2000,-41.1439300 174.8211300,Land Mobile - Mobile Transmit,Planned,RX,TRUE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421769,NA,Next Generation Critical Communications,ESCN113#,495.4062,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Mobile - Mobile Transmit,Planned,TX,TRUE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421767,NA,Next Generation Critical Communications,ESCN21#,494.2563,RNZ PORIRUA (VF W4PRU),LAT_LONG_NZGD2000_D2000,-41.1439300 174.8211300,Land Mobile - Mobile Transmit,Planned,RX,TRUE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421767,NA,Next Generation Critical Communications,ESCN21#,494.2563,MOBILE,LAT_LONG_NZGD2000_D2000,NA,Land Mobile - Mobile Transmit,Planned,TX,TRUE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421722,401877,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,13G2,12793,CASS PEAK SSR,LAT_LONG_NZGD2000_D2000,-43.6360285 172.6239960,Fixed >=1 GHz (Bi-directional),Current,TX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
421722,401877,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,13G2,12793,"30 Sir William Pickering Drive, Christchurch",LAT_LONG_NZGD2000_D2000,-43.4969220 172.5577280,Fixed >=1 GHz (Bi-directional),Current,RX,FALSE,data/page/015c7ec4816a25296caa25626f9890cc.json,2024-12-04
